"cellsource"	"rightfoot"	"travel"	"getlunch"	"height"	"gender"	"age"	"year"	"armspan"	"cellcost"
"286"	NA	22	"walk"	"home"	155	"male"	14	10	150	NA
"288"	"parent"	NA	"motor"	"home"	NA	"male"	12	7	150	20
"293"	NA	34	"walk"	"home"	NA	"female"	13	9	90	NA
"296"	"pocket"	24	"motor"	"home"	167	"female"	12	8	160	10
"298"	NA	23	"walk"	"home"	164	"female"	12	8	159	NA
"303"	"job"	14	"walk"	"none"	140	"male"	14	10	80	1
"306"	"parent"	24	"bike"	"dairy"	166	"male"	13	9	160	10
"308"	NA	23	"walk"	"home"	154	"male"	12	8	154	NA
"313"	NA	23	"bike"	"home"	152	"male"	12	7	156	NA
"316"	NA	29	"bike"	"home"	166	"male"	12	8	161	NA
"318"	NA	27	"motor"	"dairy"	165	"female"	12	8	136	NA
"323"	"job"	25	"motor"	"home"	174	"female"	16	11	172	20
"326"	"parent"	10	"motor"	"home"	NA	"female"	9	5	133	20
"328"	"parent"	23	"bus"	"home"	164	"female"	15	10	160	40
"333"	"parent"	23	"motor"	"home"	161	"female"	12	8	160	15
"336"	NA	24	"bus"	"tuckshop"	161	"female"	11	6	156	NA
"338"	"parent"	23	"motor"	"home"	138	"female"	11	7	164	180
"343"	"parent"	35	"walk"	"home"	166	"female"	13	9	165	10
"346"	"pocket"	26	"walk"	"home"	174	"male"	13	9	NA	10
"348"	"pocket"	21	"walk"	"home"	162	"female"	14	10	156	20
"353"	NA	23	"walk"	"home"	162	"female"	12	8	67	NA
"356"	"pocket"	24	"train"	"friend"	164	"female"	13	9	164	20
"358"	"parent"	23	"motor"	"home"	155	"male"	13	8	150	0
"363"	NA	24	"bus"	"home"	170	"female"	13	9	167	NA
"366"	NA	21	"motor"	"home"	137	"male"	9	5	136	NA
"368"	NA	22	"motor"	"home"	138	"female"	10	6	133	NA
"373"	"parent"	23	"motor"	"tuckshop"	156	"female"	14	10	155	20
"376"	"other"	27	"bus"	"home"	178	"male"	14	10	175	10
"378"	"pocket"	28	"motor"	"dairy"	165	"female"	12	8	156	20
"383"	"parent"	24	"bus"	"home"	154	"male"	10	5	156	3
"386"	"parent"	21	"walk"	"home"	161	"female"	13	9	159	10
"388"	NA	21	"bus"	"home"	144	"male"	13	8	147	NA
"393"	NA	21	"bus"	"home"	155	"female"	12	9	40	NA
"396"	NA	19	"motor"	"home"	139	"female"	9	5	117	NA
"398"	"parent"	26	"motor"	"home"	162	"female"	13	9	162	20
"403"	"parent"	20	"motor"	"home"	131	"female"	10	6	131	60
"406"	NA	25	"motor"	"home"	161	"female"	11	7	150	NA
"408"	NA	22	"motor"	"home"	150	"male"	11	7	NA	NA
"413"	NA	22	"motor"	"home"	139	"male"	9	5	142	NA
"416"	"parent"	24	"walk"	"home"	175	"female"	13	9	169	40
"418"	"parent"	24	"bus"	"dairy"	155	"male"	11	7	150	100
"423"	"parent"	31	"walk"	"home"	164	"male"	14	10	158	10
"426"	"parent"	24	"walk"	"tuckshop"	170	"female"	15	10	170	0
"428"	"parent"	23	"motor"	"school"	NA	"female"	12	8	NA	20
"433"	"job"	25	"bus"	"tuckshop"	154	"female"	13	9	156	20
"436"	NA	23	"walk"	"school"	150	"female"	11	6	143	NA
"438"	"pocket"	21	"bus"	"none"	143	"female"	13	8	141	20
"443"	"pocket"	28	"bus"	"home"	168	"male"	13	9	NA	10
"446"	"pocket"	23	"motor"	"tuckshop"	164	"female"	14	9	164	30
"448"	NA	24	"bus"	"home"	139	"male"	9	5	135	NA
"453"	NA	12	"motor"	"home"	135	"male"	9	5	130	NA
"456"	"pocket"	22	"bus"	"home"	169	"female"	15	11	169	20
"458"	"pocket"	20	"bus"	"home"	160	"female"	11	7	160	20
"463"	"pocket"	25	"walk"	"home"	156	"male"	12	8	148	0
"466"	NA	22	"bus"	"home"	146	"female"	12	7	142	NA
"468"	"parent"	19	"bus"	"home"	152	"female"	12	8	149	10
"473"	"job"	23	"motor"	"school"	156	"female"	15	10	NA	10
"476"	"parent"	24	"motor"	"tuckshop"	149	"male"	11	7	140	0
"478"	NA	19	"motor"	"home"	135	"male"	9	5	131	NA
"483"	NA	25	"bus"	"none"	165	"female"	14	9	163	NA
"486"	"pocket"	24	"walk"	"tuckshop"	174	"male"	12	8	173	10
"488"	"parent"	23	"motor"	"home"	148	"female"	11	7	147	NA
"493"	NA	28	"bike"	"home"	180	"male"	12	7	180	NA
"496"	NA	23	"motor"	"tuckshop"	146	"male"	10	6	145	NA
"498"	"other"	27	"bus"	"friend"	170	"male"	14	9	181	50
